scene,w_L_lidar,mae_overall,mae_tree
JAX_068,0,1.1075542,1.0828844
JAX_068,0.01,1.1223757,1.0968103
JAX_068,0.03,1.1526384,1.1273293
JAX_068,0.1,1.2499112,1.2530957
JAX_068,0.3,1.3356184,1.3149633
